Participant ,Accent,Word,Sentence Number,F1,F2,Expected,Realized,IPA of Vowel,Gender,Age
6,American,Look,1,527.13,1578.21,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,2,477.98,1423.53,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,2,524.72,1439.89,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,2,500.76,1351.84,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,3,502.9,1504.87,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,3,487.12,1532.97,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Look,3,566.38,1430.86,/lʊk/,/lʊk/,,Female - Cis,21
6,American,Luck,4,782.94,1350.95,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,4,768.02,1418.7,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,4,657.27,1309.04,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,5,677.72,1310.04,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,5,743.39,1522.88,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,5,786.92,1306.34,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,6,660.2,1517.19,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,6,694.26,1372.94,/lʌk/,/lʌk/,,Female - Cis,21
6,American,Luck,6,683.39,1386.09,/lʌk/,/lʌk/,,Female - Cis,21
7,American - Classifier,Look,1,515.72,1252.42,-,-,,Male - Cis,22
7,American - Classifier,Look,1,531.99,1222.36,-,-,,Male - Cis,22
7,American - Classifier,Look,1,505.76,1217.74,-,-,,Male - Cis,22
7,American - Classifier,Look,2,534,1157.88,-,-,,Male - Cis,22
7,American - Classifier,Look,2,495.81,1282.85,-,-,,Male - Cis,22
7,American - Classifier,Look,2,479.86,1247.6,-,-,,Male - Cis,22
7,American - Classifier,Look,3,529.8,1201.02,-,-,,Male - Cis,22
7,American - Classifier,Look,3,525.07,1236.21,-,-,,Male - Cis,22
7,American - Classifier,Look,3,543.29,1221.12,-,-,,Male - Cis,22
7,American - Classifier,Luck,4,662.97,1167.15,-,-,,Male - Cis,22
7,American - Classifier,Luck,4,677.29,1233.71,-,-,,Male - Cis,22
7,American - Classifier,Luck,4,647.57,1229.2,-,-,,Male - Cis,22
7,American - Classifier,Luck,5,698.16,1181.31,-,-,,Male - Cis,22
7,American - Classifier,Luck,5,671.65,1193.89,-,-,,Male - Cis,22
7,American - Classifier,Luck,5,664.97,1262.01,-,-,,Male - Cis,22
7,American - Classifier,Luck,6,639.9,1175.56,-,-,,Male - Cis,22
7,American - Classifier,Luck,6,647.23,1224.74,-,-,,Male - Cis,22
7,American - Classifier,Luck,6,675.42,1219.75,-,-,,Male - Cis,22
8,Canadian - Classifier,Look,1,581.44,1190.7,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,1,571.79,1245.69,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,1,524.39,1265.42,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,2,528.79,1216.36,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,2,504.54,1217.3,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,2,582.91,1236.15,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,3,565.93,1249.23,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,3,530.37,1218.85,-,-,,Male - Cis,20
8,Canadian - Classifier,Look,3,572.63,1213.31,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,4,833.47,1258.52,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,4,771.39,1339.26,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,4,789.29,1222.73,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,5,649.1,1312.89,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,5,822.48,1257.52,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,5,759.77,1378.36,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,6,749.56,1223.43,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,6,759.54,1353.63,-,-,,Male - Cis,20
8,Canadian - Classifier,Luck,6,753.25,1317.45,-,-,,Male - Cis,20
